cell	tf
Bcell-13	SPI1_HUMAN.H11MO.0.A
Bcell-13	TFE2_HUMAN.H11MO.0.A
Bcell-13	ITF2_HUMAN.H11MO.0.C
Bcell-13	HTF4_HUMAN.H11MO.0.A
Bcell-13	PAX5_HUMAN.H11MO.0.A
Bcell-13	BATF3_HUMAN.H11MO.0.B
Bcell-13	TAL1_HUMAN.H11MO.1.A
CD4-9	BATF_HUMAN.H11MO.1.A
CD4-9	HTF4_HUMAN.H11MO.0.A
CD4-9	TFE2_HUMAN.H11MO.0.A
CD4-9	GATA3_HUMAN.H11MO.0.A
CD4-9	GFI1_HUMAN.H11MO.0.C
CD4-9	RUNX1_HUMAN.H11MO.0.A
CD4-9	RUNX3_HUMAN.H11MO.0.A
CD4-9	IKZF1_HUMAN.H11MO.0.C
CD4-9	SPI1_HUMAN.H11MO.0.A
CD4-9	IRF8_HUMAN.H11MO.0.B
CD4-9	TBX21_HUMAN.H11MO.0.A
CD4-9	RORA_HUMAN.H11MO.0.C
CD4-9	STAT1_HUMAN.H11MO.1.A
CD4-9	STAT3_HUMAN.H11MO.0.A
CD4-9	STAT6_HUMAN.H11MO.0.B
CD4-9	TAL1_HUMAN.H11MO.1.A
CD8-10	BATF_HUMAN.H11MO.1.A
CD8-10	HTF4_HUMAN.H11MO.0.A
CD8-10	TFE2_HUMAN.H11MO.0.A
CD8-10	GATA3_HUMAN.H11MO.0.A
CD8-10	GFI1_HUMAN.H11MO.0.C
CD8-10	RUNX1_HUMAN.H11MO.0.A
CD8-10	RUNX3_HUMAN.H11MO.0.A
CD8-10	IKZF1_HUMAN.H11MO.0.C
CD8-10	SPI1_HUMAN.H11MO.0.A
CD8-10	IRF8_HUMAN.H11MO.0.B
CD8-10	TBX21_HUMAN.H11MO.0.A
CD8-10	RORA_HUMAN.H11MO.0.C
CD8-10	STAT1_HUMAN.H11MO.1.A
CD8-10	STAT3_HUMAN.H11MO.0.A
CD8-10	STAT6_HUMAN.H11MO.0.B
CD8-10	TAL1_HUMAN.H11MO.1.A
CLP-14	MESP1_HUMAN.H11MO.0.D
CLP-14	ID4_HUMAN.H11MO.0.D
CLP-14	ITF2_HUMAN.H11MO.0.C
CLP-14	HTF4_HUMAN.H11MO.0.A
CLP-14	TFE2_HUMAN.H11MO.0.A
CLP-14	ASCL1_HUMAN.H11MO.0.A
CLP-14	ASCL2_HUMAN.H11MO.0.D
CLP-14	ZEB1_HUMAN.H11MO.0.A
CLP-14	IRF9_HUMAN.H11MO.0.C
CLP-14	STAT1_HUMAN.H11MO.1.A
CLP-14	SPI1_HUMAN.H11MO.0.A
CLP-14	TAL1_HUMAN.H11MO.1.A
CMP-4	GATA3_HUMAN.H11MO.0.A
CMP-4	GATA5_HUMAN.H11MO.0.D
CMP-4	GATA4_HUMAN.H11MO.0.A
CMP-4	GATA6_HUMAN.H11MO.0.A
CMP-4	GATA2_HUMAN.H11MO.1.A
CMP-4	RUNX1_HUMAN.H11MO.0.A
CMP-4	SPI1_HUMAN.H11MO.0.A
CMP-4	CEBPA_HUMAN.H11MO.0.A
CMP-4	TAL1_HUMAN.H11MO.1.A
CMP-4	IRF8_HUMAN.H11MO.0.B
Erythro-15	RUNX1_HUMAN.H11MO.0.A
Erythro-15	GATA1_HUMAN.H11MO.1.A
Erythro-15	GATA2_HUMAN.H11MO.1.A
Erythro-15	CEBPA_HUMAN.H11MO.0.A
Erythro-15	KLF1_HUMAN.H11MO.0.A
Erythro-15	BC11A_HUMAN.H11MO.0.A
Erythro-15	FLI1_HUMAN.H11MO.1.A
Erythro-15	SPI1_HUMAN.H11MO.0.A
Erythro-15	TAL1_HUMAN.H11MO.1.A
GMP-5	CEBPA_HUMAN.H11MO.0.A
GMP-5	BC11A_HUMAN.H11MO.0.A
GMP-5	SPIB_HUMAN.H11MO.0.A
GMP-5	CEBPD_HUMAN.H11MO.0.C
GMP-5	SPI1_HUMAN.H11MO.0.A
GMP-5	CEBPB_HUMAN.H11MO.0.A
GMP-5	IRF8_HUMAN.H11MO.0.B
GMP-5	CEBPG_HUMAN.H11MO.0.B
GMP-5	CEBPE_HUMAN.H11MO.0.A
GMP-5	FOS_HUMAN.H11MO.0.A
GMP-5	JUN_HUMAN.H11MO.0.A
GMP-5	JUNB_HUMAN.H11MO.0.A
GMP-5	BATF_HUMAN.H11MO.1.A
GMP-5	FOSL2_HUMAN.H11MO.0.A
GMP-5	FOSL1_HUMAN.H11MO.0.A
GMP-5	ATF3_HUMAN.H11MO.0.A
GMP-5	IRF4_HUMAN.H11MO.0.A
GMP-5	DBP_HUMAN.H11MO.0.B
GMP-5	SPIC_HUMAN.H11MO.0.D
GMP-5	STAT1_HUMAN.H11MO.1.A
GMP-5	BACH2_HUMAN.H11MO.0.A
GMP-5	ATF4_HUMAN.H11MO.0.A
GMP-5	FOSB_HUMAN.H11MO.0.A
GMP-5	IRF1_HUMAN.H11MO.0.A
GMP-5	JDP2_HUMAN.H11MO.0.D
GMP-5	NFE2_HUMAN.H11MO.0.A
GMP-5	IRF3_HUMAN.H11MO.0.B
GMP-5	IRF9_HUMAN.H11MO.0.C
GMP-5	GATA2_HUMAN.H11MO.1.A
GMP-5	TAL1_HUMAN.H11MO.1.A
GMP-5	GATA1_HUMAN.H11MO.1.A
HSC-1	FOSL1_HUMAN.H11MO.0.A
HSC-1	FOSL2_HUMAN.H11MO.0.A
HSC-1	BATF_HUMAN.H11MO.1.A
HSC-1	JUN_HUMAN.H11MO.0.A
HSC-1	FOS_HUMAN.H11MO.0.A
HSC-1	JUNB_HUMAN.H11MO.0.A
HSC-1	BACH1_HUMAN.H11MO.0.A
HSC-1	MAFK_HUMAN.H11MO.1.A
HSC-1	GATA1_HUMAN.H11MO.1.A
HSC-1	GATA3_HUMAN.H11MO.0.A
HSC-1	GATA2_HUMAN.H11MO.1.A
HSC-1	FLI1_HUMAN.H11MO.1.A
HSC-1	ERG_HUMAN.H11MO.0.A
HSC-1	LYL1_HUMAN.H11MO.0.A
HSC-1	RUNX1_HUMAN.H11MO.0.A
HSC-1	SPI1_HUMAN.H11MO.0.A
HSC-1	CEBPA_HUMAN.H11MO.0.A
HSC-1	MEF2C_HUMAN.H11MO.0.A
HSC-1	TFE2_HUMAN.H11MO.0.A
HSC-1	TAL1_HUMAN.H11MO.1.A
LMPP-3	ITF2_HUMAN.H11MO.0.C
LMPP-3	STAT1_HUMAN.H11MO.1.A
LMPP-3	CEBPE_HUMAN.H11MO.0.A
LMPP-3	SPI1_HUMAN.H11MO.0.A
LMPP-3	TFE2_HUMAN.H11MO.0.A
LMPP-3	IRF8_HUMAN.H11MO.0.B
